,WorkerId,mean_jaccard,ages,gender,education,speaker
0,A14GKRTUEHBLBZ,0.7,33,female,Master,NoneNative
1,A1KTV1DO4K443L,0.7166666666666666,51,female,Bachelor,Native
2,A1OZPLHNIU1519,0.8833333333333332,58,male,HighSchool,Native
3,A1W1X3S1Y0RKF3,0.7499999999999999,32,male,Master,Native
4,A22ON3MIIG0IJA,0.7166666666666666,42,male,HighSchool,Native
5,A2BK45LZGGWPLX,0.8333333333333334,65,female,Master,Native
6,A2FWZR12905V6J,0.7,25,female,Bachelor,Native
7,A2N9U74YIPDQ9F,0.7166666666666666,55,female,Bachelor,Native
8,A2ONILC0LZKG6Y,0.8166666666666667,45,female,Bachelor,Native
9,A2UAHW3Q7S45JP,0.8166666666666667,35,female,Bachelor,Native
10,A2V3P1XE33NYC3,0.8833333333333332,51,male,Master,Native
11,A302KOFOYLD89A,0.8333333333333334,44,female,HighSchool,Native
12,A3135Y3RMFC3PK,0.7916666666666667,54,female,Bachelor,Native
13,A377LTGWJKY2IW,0.6499999999999999,53,female,Bachelor,Native
14,A382S0KJMW3K9S,0.8166666666666667,39,male,Bachelor,Native
15,A3BUWQ5C39GRQC,0.8166666666666667,41,female,Bachelor,Native
16,A3F5YHQWKPC5MX,0.6499999999999999,36,female,Bachelor,Native
17,A3FQNVDMR1ORAT,0.8833333333333334,28,male,HighSchool,Native
18,A3SR7LK7TH1B6F,0.6833333333333333,24,male,Master,Native
19,A94DL4GI8ZBUO,0.7,34,male,Bachelor,Native
20,ABO9F0JD9NN54,0.7266666666666667,35,female,Bachelor,Native
21,AJ4T7PTRYNSUW,0.7583333333333334,30,male,HighSchool,Native
22,AXB86SVXU5SEG,0.7666666666666666,42,female,Master,Native
